ID,QUEUE_ID,CU,STATUS,QUEUE_TYPE,PLATFORM,CPU_USAGE,MEM_USAGE,LAUNCHING_JOB_NUMS,RUNNING_JOB_NUMS,SUCCEED_JOB_NUMS,CANCELLED_JOB_NUMS,FAILED_JOB_NUMS,DOTTING_TIME,RESOURCE_TYPE,DISK_USAGE
8,85265,64,available,sql,x86_64,0,26,200,49,3,0,2,1600969920000,vm,29
8,85265,64,available,sql,x86_64,0,26,200,49,3,0,1,1600970220000,vm,29
8,85265,64,available,sql,x86_64,1,26,199,49,3,1,3,1600970520000,vm,29
9,4,16,available,general,x86_64,3,76,0,0,0,0,0,1598560500000,vm,20
9,4,16,available,general,x86_64,2,76,0,0,0,0,0,1598560800000,vm,20
9,4,16,available,general,x86_64,3,76,0,0,0,0,0,1598561100000,vm,20
9,4,16,available,general,x86_64,2,76,0,0,0,0,0,1598561400000,vm,20
9,4,16,available,general,x86_64,2,76,0,0,0,0,0,1598561700000,vm,20
10,21487,64,available,sql,x86_64,10,63,0,35,109,0,0,1610238960000,vm,29
10,21487,64,available,sql,x86_64,23,69,0,28,107,0,0,1610239260000,vm,29
10,21487,64,available,sql,x86_64,14,73,0,21,98,0,0,1610239560000,vm,29
10,21487,64,available,sql,x86_64,22,73,0,5,87,0,1,1610239860000,vm,29
10,21487,64,available,sql,x86_64,39,67,0,4,28,0,0,1610240160000,vm,29
11,297,16,available,sql,x86_64,50,67,0,5,4,0,0,1629969600000,vm,9
11,297,16,available,sql,x86_64,69,64,0,6,4,0,0,1629969900000,vm,9
11,297,16,available,sql,x86_64,2,64,0,4,4,0,0,1629970200000,vm,9
11,297,16,available,sql,x86_64,2,64,0,7,2,0,0,1629970500000,vm,9
11,297,16,available,sql,x86_64,2,47,0,6,4,0,0,1629970800000,vm,9
12,2,16,available,sql,x86_64,4,65,0,0,0,0,0,1600324560000,vm,26
12,2,16,available,sql,x86_64,5,65,0,0,0,0,0,1600324860000,vm,26
12,2,16,available,sql,x86_64,3,65,0,0,0,0,0,1600325160000,vm,26
12,2,16,available,sql,x86_64,3,65,0,0,0,0,0,1600325460000,vm,26
12,2,16,available,sql,x86_64,3,65,0,0,0,0,0,1600325760000,vm,26
13,81221,16,available,general,x86_64,10,40,3,6,62,0,0,1597260180000,vm,19
13,81221,16,available,general,x86_64,3,40,3,2,1,0,1,1597260480000,vm,19
13,81221,16,available,general,x86_64,2,40,3,4,3,0,0,1597260780000,vm,19
13,81221,16,available,general,x86_64,4,40,3,4,3,0,0,1597261080000,vm,19
13,81221,16,available,general,x86_64,4,40,3,2,5,0,0,1597261380000,vm,19
14,297,16,available,sql,x86_64,3,57,0,3,2,0,1,1695138000000,vm,9
14,297,16,available,sql,x86_64,3,50,0,6,1,0,1,1695138300000,vm,9
14,297,16,available,sql,x86_64,4,49,0,5,1,0,2,1695138600000,vm,9
14,297,16,available,sql,x86_64,2,50,0,6,0,0,0,1695138900000,vm,9
14,297,16,available,sql,x86_64,55,61,0,6,155,0,8,1695139200000,vm,9
15,21487,64,available,sql,x86_64,3,61,0,0,0,0,0,1598995080000,vm,20
15,21487,64,available,sql,x86_64,3,61,0,0,0,0,0,1598995380000,vm,20
15,21487,64,available,sql,x86_64,2,62,0,0,0,0,0,1598995680000,vm,20
15,21487,64,available,sql,x86_64,3,61,0,0,0,0,0,1598995980000,vm,20
15,21487,64,available,sql,x86_64,6,61,0,0,0,0,0,1598996280000,vm,20
16,21487,64,available,sql,x86_64,5,50,0,1,1,0,0,1600358100000,vm,20
16,21487,64,available,sql,x86_64,3,49,0,0,0,0,0,1600358400000,vm,20
16,21487,64,available,sql,x86_64,4,50,0,35,32,0,0,1600358700000,vm,20
16,21487,64,available,sql,x86_64,48,57,0,24,101,0,0,1600359000000,vm,20
16,21487,64,available,sql,x86_64,36,60,0,15,109,0,0,1600359300000,vm,20
17,297,16,available,sql,x86_64,2,46,0,9,3,0,1,1698296520000,vm,9
17,297,16,available,sql,x86_64,84,71,0,7,11,0,1,1698296820000,vm,9
17,297,16,available,sql,x86_64,48,66,0,6,6,0,1,1698297120000,vm,9
17,297,16,available,sql,x86_64,36,60,0,10,1,0,0,1698297420000,vm,9
17,297,16,available,sql,x86_64,44,62,0,9,1,0,0,1698297720000,vm,9
18,85153,64,available,general,x86_64,59,41,0,1,1,1,0,1610784480000,vm,20
18,85153,64,available,general,x86_64,2,26,0,0,0,0,0,1610784780000,vm,20
18,85153,64,available,general,x86_64,4,36,0,0,0,0,0,1610785080000,vm,20
18,85153,64,available,general,x86_64,3,38,0,0,0,0,0,1610785380000,vm,20
18,85153,64,available,general,x86_64,43,41,0,0,0,0,0,1610785680000,vm,20
19,297,16,available,sql,x86_64,8,66,0,3,5,0,0,1601872320000,vm,9
19,297,16,available,sql,x86_64,3,63,0,3,6,0,0,1601872620000,vm,9
19,297,16,available,sql,x86_64,2,63,0,4,4,0,0,1601872920000,vm,9
19,297,16,available,sql,x86_64,2,63,0,5,4,0,0,1601873220000,vm,9
19,297,16,available,sql,x86_64,2,63,0,1,6,0,0,1601873520000,vm,9
20,21487,64,available,sql,x86_64,3,37,0,0,0,0,0,1627747320000,vm,29
20,21487,64,available,sql,x86_64,1,37,0,6,1,0,0,1627747620000,vm,29
20,21487,64,available,sql,x86_64,1,36,0,5,25,0,1,1627747920000,vm,29
20,21487,64,available,sql,x86_64,7,36,0,1,69,0,0,1627748220000,vm,29
20,21487,64,available,sql,x86_64,1,35,0,7,2,0,0,1627748520000,vm,29
21,297,16,available,sql,x86_64,18,81,0,8,2,0,0,1615388100000,vm,9
21,297,16,available,sql,x86_64,2,79,0,4,5,0,0,1615388400000,vm,9
21,297,16,available,sql,x86_64,80,82,0,7,3,0,0,1615388700000,vm,9
21,297,16,available,sql,x86_64,92,77,0,9,1,0,0,1615389000000,vm,9
21,297,16,available,sql,x86_64,71,75,0,7,6,0,0,1615389300000,vm,9
22,2,16,available,sql,x86_64,3,51,0,0,0,0,0,1598739360000,vm,26
22,2,16,available,sql,x86_64,4,51,0,0,0,0,0,1598739660000,vm,26
22,2,16,available,sql,x86_64,3,51,0,0,0,0,0,1598739960000,vm,26
22,2,16,available,sql,x86_64,2,51,0,0,0,0,0,1598740260000,vm,26
22,2,16,available,sql,x86_64,2,51,0,0,0,0,0,1598740560000,vm,26
23,2,16,available,sql,x86_64,3,50,0,0,0,0,0,1598260200000,vm,26
23,2,16,available,sql,x86_64,2,50,0,0,0,0,0,1598260500000,vm,26
23,2,16,available,sql,x86_64,2,50,0,0,0,0,0,1598260800000,vm,26
23,2,16,available,sql,x86_64,4,50,0,0,0,0,0,1598261100000,vm,26
23,2,16,available,sql,x86_64,11,50,0,0,0,0,0,1598261400000,vm,26
24,21487,64,available,sql,x86_64,80,89,0,19,44,0,0,1604172360000,vm,20
24,21487,64,available,sql,x86_64,47,86,0,4,115,0,0,1604172660000,vm,20
24,21487,64,available,sql,x86_64,13,64,0,5,112,0,0,1604172960000,vm,20
24,21487,64,available,sql,x86_64,6,63,0,6,96,0,0,1604173260000,vm,20
24,21487,64,available,sql,x86_64,16,64,0,2,19,0,0,1604173560000,vm,20
25,85265,64,available,sql,x86_64,2,28,0,25,3,0,0,1598401500000,vm,29
25,85265,64,available,sql,x86_64,1,28,21,44,3,0,3,1598401800000,vm,29
25,85265,64,available,sql,x86_64,0,28,12,1,3,0,1,1598402100000,vm,29
25,85265,64,available,sql,x86_64,1,28,4,49,3,0,0,1598402400000,vm,29
25,85265,64,available,sql,x86_64,1,28,0,43,3,0,0,1598402700000,vm,29
26,297,16,available,sql,x86_64,46,62,0,4,2,0,2,1645921560000,vm,9
26,297,16,available,sql,x86_64,4,62,0,6,1,0,1,1645921860000,vm,9
26,297,16,available,sql,x86_64,2,57,0,4,2,0,3,1645922160000,vm,9
26,297,16,available,sql,x86_64,2,55,0,9,0,0,0,1645922460000,vm,9
26,297,16,available,sql,x86_64,2,55,0,7,0,0,0,1645922760000,vm,9
27,21487,64,available,sql,x86_64,26,67,0,2,75,0,0,1601488680000,vm,20
27,21487,64,available,sql,x86_64,17,63,0,1,121,0,0,1601488980000,vm,20
27,21487,64,available,sql,x86_64,7,61,0,12,111,0,0,1601489280000,vm,20
27,21487,64,available,sql,x86_64,5,61,0,6,103,0,0,1601489580000,vm,20
27,21487,64,available,sql,x86_64,3,61,0,1,86,0,0,1601489880000,vm,20
28,297,16,available,sql,x86_64,93,76,0,4,4,0,0,1617199860000,vm,9
28,297,16,available,sql,x86_64,64,78,0,4,3,0,0,1617200160000,vm,9
28,297,16,available,sql,x86_64,16,68,0,5,4,0,0,1617200460000,vm,9
28,297,16,available,sql,x86_64,2,65,0,4,3,0,0,1617200760000,vm,9
28,297,16,available,sql,x86_64,2,50,0,3,5,0,0,1617201060000,vm,9
29,297,16,available,sql,x86_64,95,79,0,7,3,0,1,1662959760000,vm,9
29,297,16,available,sql,x86_64,72,66,0,8,4,0,1,1662960060000,vm,9
29,297,16,available,sql,x86_64,47,64,0,8,1,0,0,1662960360000,vm,9
29,297,16,available,sql,x86_64,60,51,0,8,6,0,1,1662960660000,vm,9
29,297,16,available,sql,x86_64,94,55,0,4,5,0,1,1662960960000,vm,9
30,297,16,available,sql,x86_64,94,68,0,10,0,0,0,1650111000000,vm,9
30,297,16,available,sql,x86_64,62,68,0,6,2,0,0,1650111300000,vm,9
30,297,16,available,sql,x86_64,46,67,0,3,9,0,0,1650111600000,vm,9
30,297,16,available,sql,x86_64,31,65,0,6,3,0,0,1650111900000,vm,9
30,297,16,available,sql,x86_64,3,54,0,9,0,0,0,1650112200000,vm,9
31,2,16,available,sql,x86_64,5,50,0,0,0,0,0,1598578260000,vm,26
31,2,16,available,sql,x86_64,3,51,0,0,0,0,0,1598578560000,vm,26
31,2,16,available,sql,x86_64,3,51,0,0,0,0,0,1598578860000,vm,26
31,2,16,available,sql,x86_64,9,51,0,0,0,0,0,1598579160000,vm,26
31,2,16,available,sql,x86_64,13,51,0,0,0,0,0,1598579460000,vm,26
32,85153,64,available,general,x86_64,92,79,0,0,0,0,0,1629538560000,vm,20
32,85153,64,available,general,x86_64,68,96,0,0,0,0,0,1629538860000,vm,20
32,85153,64,available,general,x86_64,76,99,0,0,0,0,0,1629539160000,vm,20
32,85153,64,available,general,x86_64,93,99,0,0,0,0,0,1629539460000,vm,20
32,85153,64,available,general,x86_64,73,99,0,0,0,0,0,1629539760000,vm,20
33,2,16,available,sql,x86_64,4,56,0,0,0,0,0,1600156980000,vm,26
33,2,16,available,sql,x86_64,5,56,0,0,0,0,0,1600157280000,vm,26
33,2,16,available,sql,x86_64,4,56,0,0,0,0,0,1600157580000,vm,26
33,2,16,available,sql,x86_64,3,56,0,0,0,0,0,1600157880000,vm,26
33,2,16,available,sql,x86_64,5,56,0,0,0,0,0,1600158180000,vm,26
34,85153,64,available,general,x86_64,72,37,0,1,1,0,0,1627707540000,vm,20
34,85153,64,available,general,x86_64,61,38,0,1,1,0,3,1627707840000,vm,20
34,85153,64,available,general,x86_64,41,34,0,0,0,0,0,1627708140000,vm,20
34,85153,64,available,general,x86_64,79,56,0,0,0,0,0,1627708440000,vm,20
34,85153,64,available,general,x86_64,68,71,0,0,0,0,0,1627708740000,vm,20
35,297,16,available,sql,x86_64,2,49,0,6,4,0,0,1612490640000,vm,9
35,297,16,available,sql,x86_64,2,50,0,3,6,0,0,1612490940000,vm,9
35,297,16,available,sql,x86_64,4,49,0,6,2,0,0,1612491240000,vm,9
35,297,16,available,sql,x86_64,3,50,0,4,4,0,0,1612491540000,vm,9
35,297,16,available,sql,x86_64,1,49,0,4,4,0,0,1612491840000,vm,9
36,297,16,available,sql,x86_64,6,73,0,1,7,0,0,1601782080000,vm,9
36,297,16,available,sql,x86_64,1,59,0,7,2,0,0,1601782380000,vm,9
36,297,16,available,sql,x86_64,7,55,0,2,7,0,1,1601782680000,vm,9
36,297,16,available,sql,x86_64,2,48,0,4,4,0,0,1601782980000,vm,9
36,297,16,available,sql,x86_64,2,47,0,3,9,0,0,1601783280000,vm,9
37,297,16,available,sql,x86_64,2,43,0,6,4,0,0,1662018900000,vm,9
37,297,16,available,sql,x86_64,2,34,0,6,5,0,2,1662019200000,vm,9
37,297,16,available,sql,x86_64,84,62,0,8,3,0,0,1662019500000,vm,9
37,297,16,available,sql,x86_64,77,71,0,10,6,0,0,1662019800000,vm,9
37,297,16,available,sql,x86_64,34,60,0,4,6,0,0,1662020100000,vm,9
38,297,16,available,sql,x86_64,2,45,0,7,2,0,0,1656297960000,vm,9
38,297,16,available,sql,x86_64,1,44,0,5,4,0,0,1656298260000,vm,9
38,297,16,available,sql,x86_64,2,44,0,8,3,0,0,1656298560000,vm,9
38,297,16,available,sql,x86_64,89,69,0,10,0,0,0,1656298860000,vm,9
38,297,16,available,sql,x86_64,70,73,0,8,3,0,0,1656299160000,vm,9
39,85153,64,available,general,x86_64,19,45,0,0,0,0,0,1629070620000,vm,20
39,85153,64,available,general,x86_64,45,61,0,0,0,0,0,1629070920000,vm,20
39,85153,64,available,general,x86_64,20,69,0,1,1,0,2,1629071220000,vm,20
39,85153,64,available,general,x86_64,4,25,0,0,0,0,0,1629071520000,vm,20
39,85153,64,available,general,x86_64,17,31,0,0,0,0,0,1629071820000,vm,20
40,297,16,available,sql,x86_64,44,66,0,9,0,0,0,1626703620000,vm,8
40,297,16,available,sql,x86_64,84,83,0,9,0,0,0,1626703920000,vm,8
40,297,16,available,sql,x86_64,45,82,0,3,7,0,0,1626704220000,vm,8
40,297,16,available,sql,x86_64,80,76,0,7,2,0,0,1626704520000,vm,8
40,297,16,available,sql,x86_64,72,69,0,4,7,0,0,1626704820000,vm,8
41,21487,64,available,sql,x86_64,2,46,0,49,2,0,8,1634194020000,vm,29
41,21487,64,available,sql,x86_64,1,46,0,49,7,0,14,1634194320000,vm,29
41,21487,64,available,sql,x86_64,13,45,0,49,10,0,9,1634194620000,vm,29
41,21487,64,available,sql,x86_64,17,47,0,12,45,0,8,1634194920000,vm,29
41,21487,64,available,sql,x86_64,13,52,0,1,125,0,6,1634195220000,vm,29
42,297,16,available,sql,x86_64,70,75,0,6,4,0,0,1642843020000,vm,9
42,297,16,available,sql,x86_64,57,76,0,7,4,0,0,1642843320000,vm,9
42,297,16,available,sql,x86_64,83,65,0,10,1,0,0,1642843620000,vm,9
42,297,16,available,sql,x86_64,20,61,0,5,6,0,0,1642843920000,vm,9
42,297,16,available,sql,x86_64,4,59,0,5,1,0,0,1642844220000,vm,9
43,287,16,available,sql,x86_64,63,77,0,1,0,0,0,1597934160000,vm,29
43,287,16,available,sql,x86_64,56,75,0,1,0,0,0,1597934460000,vm,29
43,287,16,available,sql,x86_64,61,76,0,1,0,0,0,1597934760000,vm,29
43,287,16,available,sql,x86_64,41,74,0,1,1,0,0,1597935060000,vm,29
43,287,16,available,sql,x86_64,56,69,0,1,0,0,0,1597935360000,vm,29
44,2,16,available,sql,x86_64,3,50,0,0,0,0,0,1597674420000,vm,26
44,2,16,available,sql,x86_64,3,49,0,0,0,0,0,1597674720000,vm,26
44,2,16,available,sql,x86_64,3,49,0,0,0,0,0,1597675020000,vm,26
44,2,16,available,sql,x86_64,4,49,0,0,0,0,0,1597675320000,vm,26
44,2,16,available,sql,x86_64,3,49,0,0,0,0,0,1597675620000,vm,26
45,297,16,available,sql,x86_64,66,76,0,6,5,0,0,1616386800000,vm,8
45,297,16,available,sql,x86_64,2,74,0,4,5,0,0,1616387100000,vm,8
45,297,16,available,sql,x86_64,2,71,0,6,2,0,0,1616387400000,vm,8
45,297,16,available,sql,x86_64,1,56,0,4,6,0,0,1616387700000,vm,8
45,297,16,available,sql,x86_64,2,44,0,8,1,0,0,1616388000000,vm,8
46,85693,16,available,general,x86_64,6,47,0,0,0,0,0,1598092740000,vm,29
46,85693,16,available,general,x86_64,3,47,0,24,1,0,1,1598093040000,vm,29
46,85693,16,available,general,x86_64,2,47,0,22,1,0,3,1598093340000,vm,29
46,85693,16,available,general,x86_64,9,47,0,0,0,0,0,1598093640000,vm,29
46,85693,16,available,general,x86_64,4,47,1,1,1,1,0,1598093940000,vm,29
47,297,16,available,sql,x86_64,52,58,0,4,5,0,0,1657653000000,vm,9
47,297,16,available,sql,x86_64,2,56,0,5,2,0,0,1657653300000,vm,9
47,297,16,available,sql,x86_64,51,52,0,8,3,0,0,1657653600000,vm,9
47,297,16,available,sql,x86_64,3,37,0,9,0,0,0,1657653900000,vm,9
47,297,16,available,sql,x86_64,2,38,0,7,1,0,1,1657654200000,vm,9
48,297,16,available,sql,x86_64,1,36,0,8,1,0,0,1659192420000,vm,9
48,297,16,available,sql,x86_64,2,35,0,6,1,0,1,1659192720000,vm,9
48,297,16,available,sql,x86_64,1,34,0,5,4,0,0,1659193020000,vm,9
48,297,16,available,sql,x86_64,52,49,0,7,3,0,0,1659193320000,vm,9
48,297,16,available,sql,x86_64,73,69,0,8,1,0,0,1659193620000,vm,9
49,4,16,available,general,x86_64,3,73,0,0,0,0,0,1597281180000,vm,20
49,4,16,available,general,x86_64,3,73,0,0,0,0,0,1597281480000,vm,20
49,4,16,available,general,x86_64,3,73,0,0,0,0,0,1597281780000,vm,20
49,4,16,available,general,x86_64,7,73,0,0,0,0,0,1597282080000,vm,20
49,4,16,available,general,x86_64,5,73,0,0,0,0,0,1597282380000,vm,20
50,297,16,available,sql,x86_64,2,61,0,5,4,0,0,1614213240000,vm,9
50,297,16,available,sql,x86_64,2,61,0,3,6,0,0,1614213540000,vm,9
50,297,16,available,sql,x86_64,3,61,0,5,3,0,0,1614213840000,vm,9
50,297,16,available,sql,x86_64,2,52,0,5,4,0,0,1614214140000,vm,9
50,297,16,available,sql,x86_64,12,52,0,3,5,0,0,1614214440000,vm,9
51,85153,64,available,general,x86_64,7,24,0,0,0,0,0,1630637340000,vm,20
51,85153,64,available,general,x86_64,37,31,0,0,0,0,0,1630637640000,vm,20
51,85153,64,available,general,x86_64,7,44,0,0,0,0,0,1630637940000,vm,20
51,85153,64,available,general,x86_64,32,49,0,0,0,0,0,1630638240000,vm,20
51,85153,64,available,general,x86_64,68,70,0,0,0,0,0,1630638540000,vm,20
52,297,16,available,sql,x86_64,42,73,0,2,2,0,0,1647648960000,vm,9
52,297,16,available,sql,x86_64,28,69,0,8,1,0,0,1647649260000,vm,9
52,297,16,available,sql,x86_64,30,64,0,7,3,0,0,1647649560000,vm,9
52,297,16,available,sql,x86_64,2,64,0,4,5,0,0,1647649860000,vm,9
52,297,16,available,sql,x86_64,2,47,0,5,4,0,0,1647650160000,vm,9
53,4,16,available,general,x86_64,3,78,0,0,0,0,0,1600031100000,vm,20
53,4,16,available,general,x86_64,2,78,0,0,0,0,0,1600031400000,vm,20
53,4,16,available,general,x86_64,2,78,0,0,0,0,0,1600031700000,vm,20
53,4,16,available,general,x86_64,2,78,0,0,0,0,0,1600032000000,vm,20
53,4,16,available,general,x86_64,5,78,0,0,0,0,0,1600032300000,vm,20
54,85153,64,available,general,x86_64,89,70,0,0,0,0,0,1607249940000,vm,20
54,85153,64,available,general,x86_64,47,92,0,0,0,0,0,1607250240000,vm,20
54,85153,64,available,general,x86_64,34,97,0,0,0,0,0,1607250540000,vm,20
54,85153,64,available,general,x86_64,76,99,0,0,0,0,0,1607250840000,vm,20
54,85153,64,available,general,x86_64,62,98,0,0,0,0,0,1607251140000,vm,20
55,297,16,available,sql,x86_64,2,44,0,7,2,0,1,1673557860000,vm,9
55,297,16,available,sql,x86_64,56,63,0,8,1,0,0,1673558160000,vm,9
55,297,16,available,sql,x86_64,28,64,0,6,3,0,2,1673558460000,vm,9
55,297,16,available,sql,x86_64,11,65,0,6,0,0,2,1673558760000,vm,9
55,297,16,available,sql,x86_64,19,56,0,5,3,0,1,1673559060000,vm,9
56,297,16,available,sql,x86_64,89,76,0,11,0,0,0,1662869700000,vm,9
56,297,16,available,sql,x86_64,76,69,0,7,6,0,0,1662870000000,vm,9
56,297,16,available,sql,x86_64,58,64,0,6,5,0,0,1662870300000,vm,9
56,297,16,available,sql,x86_64,25,65,0,10,5,0,0,1662870600000,vm,9
56,297,16,available,sql,x86_64,80,65,0,6,4,0,0,1662870900000,vm,9
57,297,16,available,sql,x86_64,6,61,0,2,4,0,0,1599148500000,vm,9
57,297,16,available,sql,x86_64,3,56,52,19,85,0,6,1599148800000,vm,9
57,297,16,available,sql,x86_64,77,75,0,5,45,0,0,1599149100000,vm,9
57,297,16,available,sql,x86_64,80,80,0,4,5,0,0,1599149400000,vm,9
57,297,16,available,sql,x86_64,50,73,0,2,8,0,0,1599149700000,vm,9
58,4,16,available,general,x86_64,3,78,0,0,0,0,0,1599654840000,vm,20
58,4,16,available,general,x86_64,2,78,0,0,0,0,0,1599655140000,vm,20
58,4,16,available,general,x86_64,4,78,0,0,0,0,0,1599655440000,vm,20
58,4,16,available,general,x86_64,3,78,0,0,0,0,0,1599655740000,vm,20
58,4,16,available,general,x86_64,3,78,0,0,0,0,0,1599656040000,vm,20
59,3,16,available,sql,x86_64,3,92,0,0,0,0,0,1598017620000,vm,20
59,3,16,available,sql,x86_64,6,92,0,0,0,0,0,1598017920000,vm,20
59,3,16,available,sql,x86_64,6,92,0,0,0,0,0,1598018220000,vm,20
59,3,16,available,sql,x86_64,2,92,0,0,0,0,0,1598018520000,vm,20
59,3,16,available,sql,x86_64,6,92,0,0,0,0,0,1598018820000,vm,20
60,297,16,available,sql,x86_64,100,53,0,45,0,0,0,1637044200000,vm,9
60,297,16,available,sql,x86_64,100,53,0,45,0,0,0,1637044500000,vm,9
60,297,16,available,sql,x86_64,99,53,0,45,0,0,0,1637044800000,vm,9
60,297,16,available,sql,x86_64,100,53,0,45,0,0,0,1637045100000,vm,9
60,297,16,available,sql,x86_64,99,53,1,48,1,1,0,1637045400000,vm,9
61,297,16,available,sql,x86_64,27,80,0,5,2,0,1,1656026220000,vm,9
61,297,16,available,sql,x86_64,31,75,0,6,3,0,0,1656026520000,vm,9
61,297,16,available,sql,x86_64,13,70,0,7,2,0,0,1656026820000,vm,9
61,297,16,available,sql,x86_64,1,58,0,6,3,0,0,1656027120000,vm,9
61,297,16,available,sql,x86_64,5,46,0,5,3,0,1,1656027420000,vm,9
62,297,16,available,sql,x86_64,2,35,0,5,5,0,0,1686408360000,vm,9
62,297,16,available,sql,x86_64,1,37,0,3,1,0,2,1686408660000,vm,9
62,297,16,available,sql,x86_64,1,37,0,3,1,0,2,1686408960000,vm,9
62,297,16,available,sql,x86_64,22,41,0,5,2,0,1,1686409260000,vm,9
62,297,16,available,sql,x86_64,89,69,0,6,0,0,1,1686409560000,vm,9
63,21487,64,available,sql,x86_64,1,25,0,0,0,0,0,1633441740000,vm,29
63,21487,64,available,sql,x86_64,1,25,0,0,0,0,0,1633442040000,vm,29
63,21487,64,available,sql,x86_64,1,26,0,6,14,0,1,1633442340000,vm,29
63,21487,64,available,sql,x86_64,27,35,0,1,69,0,0,1633442640000,vm,29
63,21487,64,available,sql,x86_64,6,35,0,8,122,0,0,1633442940000,vm,29
64,293,960,available,sql,x86_64,0,18,0,1,5,0,0,1598905980000,vm,26
64,293,960,available,sql,x86_64,0,18,0,1,0,0,0,1598906280000,vm,26
64,293,960,available,sql,x86_64,0,18,0,1,1,0,0,1598906580000,vm,26
64,293,960,available,sql,x86_64,0,18,0,1,7,0,0,1598906880000,vm,26
64,293,960,available,sql,x86_64,0,18,0,1,6,0,0,1598907180000,vm,26
65,85153,64,available,general,x86_64,1,99,0,0,0,0,0,1619691480000,vm,20
65,85153,64,available,general,x86_64,1,99,0,0,0,0,0,1619691780000,vm,20
65,85153,64,available,general,x86_64,4,99,0,0,0,0,0,1619692080000,vm,20
65,85153,64,available,general,x86_64,3,99,0,0,0,0,0,1619692380000,vm,20
65,85153,64,available,general,x86_64,1,99,0,0,0,0,0,1619692680000,vm,20
66,297,16,available,sql,x86_64,100,78,0,38,0,0,0,1681832400000,vm,9
66,297,16,available,sql,x86_64,100,78,0,38,0,0,0,1681832700000,vm,9
66,297,16,available,sql,x86_64,100,78,0,38,0,0,0,1681833000000,vm,9
66,297,16,available,sql,x86_64,100,78,0,38,0,0,0,1681833300000,vm,9
66,297,16,available,sql,x86_64,100,78,199,49,0,1,16,1681833600000,vm,9
67,85153,64,available,general,x86_64,77,38,0,1,1,0,2,1632602760000,vm,20
67,85153,64,available,general,x86_64,79,39,0,0,0,0,0,1632603060000,vm,20
